SampleID,Date,Country,State,County,Host,Genotype,Date
HM488148,2004-10-04,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488149,2005-08-01,United States,CT,Fairfield,Mosquito-other,WN02,NA
HM488150,2005-09-06,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488151,2005-09-06,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488152,2005-08-16,United States,CT,Fairfield,Mosquito-Aedes,WN02,NA
HM488153,2005-08-16,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488154,2005-08-16,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488155,2006-08-31,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488156,2006-09-13,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488157,2006-09-18,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488158,2006-07-31,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488159,2006-08-14,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488160,2006-09-25,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488161,2007-08-22,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488162,2007-09-04,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488163,2007-08-29,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488164,2007-08-30,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488165,2007-08-30,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488166,2008-09-10,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488167,2008-09-10,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488168,2008-09-10,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488169,2008-09-16,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488170,2008-09-16,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488171,2003-07-08,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488172,2003-08-11,United States,CT,Fairfield,Mosquito-other,WN02,NA
HM488173,2003-08-12,United States,CT,New-Haven,Mosquito-Culex,WN02,NA
HM488174,2003-08-12,United States,CT,New-Haven,Mosquito-Culex,WN02,NA
HM488175,2003-08-19,United States,CT,Hartford,Mosquito-Culex,NY99,NA
HM488176,2003-08-20,United States,CT,New-Haven,Mosquito-Culex,WN02,NA
HM488177,2002-08-01,United States,IL,Unknown,Bird-crow,WN02,NA
HM488178,2002-08-01,United States,IL,Unknown,Bird-crow,WN02,NA
HM488179,2002-08-01,United States,IL,Unknown,Bird-crow,WN02,NA
HM488180,2002-08-01,United States,IL,Unknown,Bird-crow,WN02,NA
HM488181,2002-08-01,United States,IL,Unknown,Bird-crow,WN02,NA
HM488182,2002-08-01,United States,IL,Unknown,Bird-crow,WN02,NA
HM488183,2002-08-01,United States,IL,Unknown,Bird-other,WN02,NA
HM488184,2002-08-01,United States,IL,Unknown,Bird-other,WN02,NA
HM488185,2003-08-01,United States,IL,Unknown,Bird-other,WN02,NA
HM488186,2003-08-01,United States,IL,Unknown,Bird-crow,WN02,NA
HM488187,2003-08-01,United States,IL,Unknown,Bird-crow,WN02,NA
HM488188,2004-08-01,United States,IL,Unknown,Bird-crow,WN02,NA
HM488189,2004-08-01,United States,IL,Unknown,Bird-other,WN02,NA
HM488190,2004-08-01,United States,IL,Unknown,Bird-crow,WN02,NA
HM488191,2004-08-01,United States,IL,Unknown,Bird-crow,SW03,NA
HM488192,2005-08-01,United States,IL,Unknown,Bird-crow,WN02,NA
HM488193,2005-08-01,United States,IL,Unknown,Bird-crow,WN02,NA
HM488194,2005-08-01,United States,IL,Unknown,Bird-crow,WN02,NA
HM488195,2005-08-01,United States,IL,Unknown,Bird-other,WN02,NA
HM488196,2005-08-01,United States,IL,Unknown,Bird-crow,WN02,NA
HM488197,2005-08-01,United States,IL,Unknown,Bird-crow,WN02,NA
HM488198,2005-08-01,United States,IL,Unknown,Mosquito-Culex,SW03,NA
HM488199,2007-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HM488200,2007-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HM488201,2007-08-01,United States,NY,Unknown,Bird-crow,SW03,NA
HM488202,2007-08-01,United States,NY,Unknown,Bird-other,WN02,NA
HM488203,2008-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HM488204,2008-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HM488205,2008-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HM488206,2008-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HM488207,2008-08-01,United States,NY,Unknown,Bird-other,WN02,NA
HM488208,2002-08-19,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488209,2003-08-14,United States,CT,Fairfield,Mosquito-other,WN02,NA
HM488210,2003-08-18,United States,CT,New-Haven,Mosquito-Culiseta,WN02,NA
HM488211,2003-08-01,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488212,2003-08-19,United States,CT,New-Haven,Mosquito-Culex,WN02,NA
HM488213,2003-08-20,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488214,2003-08-20,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488215,2003-08-20,United States,CT,Fairfield,Mosquito-Culiseta,WN02,NA
HM488216,2003-08-20,United States,CT,Windham,Mosquito-Culiseta,WN02,NA
HM488217,2003-08-21,United States,CT,New-Haven,Mosquito-Culex,WN02,NA
HM488218,2003-08-25,United States,CT,Fairfield,Mosquito-Culex,NY99,NA
HM488219,2003-08-25,United States,CT,Hartford,Mosquito-Culex,WN02,NA
HM488220,2003-08-25,United States,CT,New-Haven,Mosquito-Culex,WN02,NA
HM488221,2003-09-03,United States,CT,New-London,Mosquito-Culiseta,WN02,NA
HM488222,2003-09-09,United States,CT,New-London,Mosquito-Culiseta,WN02,NA
HM488223,2003-09-11,United States,CT,Fairfield,Mosquito-Culiseta,WN02,NA
HM488224,2003-09-11,United States,CT,Fairfield,Mosquito-Culiseta,WN02,NA
HM488225,2003-09-15,United States,CT,New-Haven,Mosquito-Aedes,WN02,NA
HM488226,2003-09-15,United States,CT,New-Haven,Mosquito-Culex,WN02,NA
HM488227,2003-09-15,United States,CT,New-Haven,Mosquito-Culex,WN02,NA
HM488228,2003-09-15,United States,CT,New-Haven,Mosquito-Culex,WN02,NA
HM488229,2003-09-15,United States,CT,New-Haven,Mosquito-other,WN02,NA
HM488230,2003-09-16,United States,CT,Windham,Mosquito-Culex,WN02,NA
HM488231,2003-09-17,United States,CT,Middlesex,Mosquito-Culiseta,WN02,NA
HM488232,2003-09-17,United States,CT,Middlesex,Mosquito-Culiseta,WN02,NA
HM488233,2003-09-17,United States,CT,New-Haven,Mosquito-Aedes,WN02,NA
HM488234,2003-09-17,United States,CT,New-Haven,Mosquito-Culex,WN02,NA
HM488235,2003-09-24,United States,CT,Fairfield,Mosquito-Culiseta,WN02,NA
HM488236,2003-10-15,United States,CT,Middlesex,Mosquito-Culiseta,NY99,NA
HM488237,2008-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HM488238,2008-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HM488239,2008-08-01,United States,NY,Unknown,Bird-crow,SW03,NA
HM488240,2008-08-01,United States,NY,Unknown,Bird-other,WN02,NA
HM488241,2008-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HM488242,2008-08-01,United States,NY,Unknown,Bird-other,WN02,NA
HM488243,2008-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HM488244,2008-08-01,United States,NY,Unknown,Unknown,WN02,NA
HM488245,2008-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HM488246,2001-08-01,United States,NY,Unknown,Bird-crow,NY99,NA
HM488247,2001-08-01,United States,NY,Unknown,Bird-crow,NY99,NA
HM488248,2001-08-01,United States,NY,Unknown,Bird-crow,NY99,NA
HM488249,2001-08-01,United States,NY,Unknown,Bird-crow,NY99,NA
HM488250,2003-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HM488251,2003-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HM488252,2005-01-01,United States,NY,Unknown,Bird-crow,WN02,NA
HM488253,2006-08-01,United States,IL,Unknown,Mosquito-Culex,WN02,NA
HM488254,2007-08-01,United States,IL,Unknown,Mosquito-Culex,WN02,NA
HM756648,2002-09-24,United States,CT,Fairfield,Mosquito-other,WN02,NA
HM756649,2006-09-05,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM756650,2003-08-21,United States,CT,New-Haven,Mosquito-Culex,WN02,NA
HM756651,2003-08-25,United States,CT,Fairfield,Mosquito-other,WN02,NA
HM756652,2003-08-26,United States,CT,Middlesex,Mosquito-Aedes,WN02,NA
HM756653,2003-08-26,United States,CT,Middlesex,Mosquito-Culex,NY99,NA
HM756654,2003-09-09,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM756656,2003-09-17,United States,CT,New-London,Mosquito-Culiseta,WN02,NA
HM756657,2003-10-01,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM756658,2003-10-07,United States,CT,New-London,Mosquito-Culiseta,WN02,NA
HM756659,2003-10-08,United States,CT,Middlesex,Mosquito-Culiseta,WN02,NA
HM756660,2008-08-01,United States,NY,Unknown,Bird-other,WN02,NA
HM756661,2001-08-01,United States,NY,Unknown,Bird-crow,NY99,NA
HM756662,2001-08-01,United States,NY,Unknown,Bird-crow,NY99,NA
HM756663,2001-08-01,United States,NY,Unknown,Bird-crow,NY99,NA
HM756664,2002-08-01,United States,NY,Unknown,Bird-crow,NY99,NA
HM756665,2002-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HM756666,2003-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HM756667,2003-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HM756668,2003-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HM756669,2003-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HM756670,2003-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HM756671,2004-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HM756672,2004-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HM756673,2004-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HM756675,2005-08-01,United States,NY,Unknown,Bird-crow,SW03,NA
HM756676,2003-08-01,United States,IL,Unknown,Bird-other,WN02,NA
HM756677,2005-08-01,United States,NM,Unknown,Bird-other,SW03,NA
HM756678,2007-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HQ671696,2001-08-01,United States,CT,Fairfield,Mosquito-Culex,NY99,NA
HQ671697,2001-08-01,United States,CT,Fairfield,Mosquito-Aedes,NY99,NA
HQ671698,2002-08-01,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HQ671699,2002-08-01,United States,CT,Fairfield,Mosquito-other,WN02,NA
HQ671700,2003-08-01,United States,CT,Fairfield,Mosquito-Culiseta,WN02,NA
HQ671701,2003-08-01,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HQ671702,2003-08-01,United States,CT,Fairfield,Unknown,WN02,NA
HQ671703,2003-08-01,United States,CT,Fairfield,Mosquito-Culiseta,WN02,NA
HQ671704,2003-08-01,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HQ671705,2003-08-01,United States,CT,Fairfield,Mosquito-Culiseta,WN02,NA
HQ671706,1999-08-01,United States,CT,Fairfield,Mosquito-Aedes,NY99,NA
HQ671707,1999-08-01,United States,CT,Fairfield,Mosquito-Culex,NY99,NA
HQ671708,2000-08-01,United States,CT,Fairfield,Mosquito-Culex,NY99,NA
HQ671709,2000-08-01,United States,CT,Fairfield,Mosquito-Culex,NY99,NA
HQ671710,2000-08-01,United States,CT,Fairfield,Mosquito-Culex,NY99,NA
HQ671711,2000-08-01,United States,CT,Fairfield,Mosquito-Culex,NY99,NA
HQ671712,2000-08-01,United States,CT,Fairfield,Mosquito-Culiseta,NY99,NA
HQ671713,2001-08-01,United States,CT,Fairfield,Bird-crow,NY99,NA
HQ671714,2001-08-01,United States,CT,Fairfield,Mosquito-Culex,NY99,NA
HQ671715,2001-08-01,United States,CT,Fairfield,Mosquito-Culex,NY99,NA
HQ671716,2001-08-01,United States,CT,Fairfield,Mosquito-Culiseta,NY99,NA
HQ671717,2001-08-01,United States,CT,Fairfield,Mosquito-Aedes,NY99,NA
HQ671718,2001-08-01,United States,CT,Fairfield,Mosquito-Culex,NY99,NA
HQ671719,2001-08-01,United States,CT,Fairfield,Mosquito-Culex,NY99,NA
HQ671720,2002-08-01,United States,CT,Fairfield,Bird-crow,WN02,NA
HQ671721,2008-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HQ671722,2002-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HQ671723,2003-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HQ671724,2005-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HQ671725,2005-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HQ671726,2005-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HQ671727,2006-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HQ671728,2006-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HQ671729,2006-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HQ671730,2007-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HQ671742,2002-08-01,United States,IL,Unknown,Bird-other,WN02,NA
HQ705659,2003-08-01,United States,CT,Unknown,Mosquito-Aedes,WN02,NA
HQ705660,2003-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
HQ705669,2002-08-01,United States,IL,Unknown,Bird-other,WN02,NA
JF415914,2005-08-01,United States,TX,Harris,Mosquito-Culex,SW03,NA
JF415915,2006-08-01,United States,TX,Harris,Bird-other,WN02,NA
JF415916,2006-08-01,United States,TX,Harris,Bird-other,WN02,NA
JF415917,2007-08-01,United States,TX,Harris,Bird-other,WN02,NA
JF415918,2007-08-01,United States,TX,Harris,Bird-other,WN02,NA
JF415919,2007-08-01,United States,TX,Harris,Mosquito-Aedes,SW03,NA
JF415920,2007-08-01,United States,TX,Harris,Bird-other,WN02,NA
JF415921,2008-08-01,United States,TX,Harris,Bird-other,SW03,NA
JF415922,2009-08-01,United States,TX,Harris,Mosquito-Culex,WN02,NA
JF415923,2009-08-01,United States,TX,Harris,Mosquito-Culex,WN02,NA
JF415924,2009-08-01,United States,TX,Harris,Bird-other,WN02,NA
JF415925,2009-08-01,United States,TX,Harris,Mosquito-Aedes,WN02,NA
JF415926,2009-08-01,United States,TX,Harris,Mosquito-Culex,WN02,NA
JF415927,2009-08-01,United States,TX,Harris,Mosquito-Aedes,WN02,NA
JF415928,2009-08-01,United States,TX,Harris,Mosquito-Culex,WN02,NA
JF415929,2005-08-01,United States,TX,Harris,Bird-other,WN02,NA
JF415930,2006-08-01,United States,TX,Harris,Mosquito-Culex,WN02,NA
JF488086,2004-08-01,United States,CT,Unknown,Mosquito-Culex,WN02,NA
JF488087,2004-08-01,United States,CT,Unknown,Mosquito-Culex,WN02,NA
JF488088,2004-08-01,United States,CT,Unknown,Mosquito-Culex,WN02,NA
JF488089,2004-08-01,United States,CT,Unknown,Mosquito-Culex,WN02,NA
JF488090,2004-08-01,United States,CT,Unknown,Mosquito-Culex,WN02,NA
JF488091,2004-08-01,United States,CT,Unknown,Mosquito-Culex,WN02,NA
JF488092,2004-08-01,United States,CT,Unknown,Mosquito-Culex,WN02,NA
JF488093,2005-08-01,United States,CT,Unknown,Mosquito-Culex,WN02,NA
JF488094,2004-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
JF488095,2009-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
JF488096,2009-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
JF488097,2007-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
JF703161,2004-07-02,United States,CA,Imperial,Mosquito-Culex,WN02,NA
JF703162,2003-07-15,United States,CA,Imperial,Mosquito-Culex,WN02,NA
JF703163,2005-11-08,United States,CA,Riverside,Mosquito-Culex,SW03,NA
JF703164,2003-08-01,United States,CA,Imperial,Mosquito-Culex,WN02,NA
JF730042,2007-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
JF730043,2002-08-01,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
JF899528,2004-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
JF899529,2005-08-01,United States,NY,Unknown,Bird-crow,WN02,NA
